"O flag", threads, static, dynamic, guided
0,1,9.113502,9.183919,9.212035,
0,2,6.783115,14.984644,6.492621,
0,3,5.260651,13.556290,5.141197,
0,4,4.415468,11.482249,4.860735,
0,5,4.415577,9.652622,5.276086,
0,6,3.933300,8.797301,5.188572,
0,7,3.711784,7.675891,4.019275,
0,8,3.411026,7.377887,4.175060,
0,9,3.671391,7.939740,4.358172,
0,10,3.294204,6.871962,5.616332,
0,11,3.344203,7.604587,6.188555,
0,12,3.428238,7.176496,5.017815,
0,13,3.553418,6.807463,4.486340,
0,14,3.520102,8.191783,4.877233,
0,15,3.553206,6.605528,6.310699,
0,16,3.737285,8.792716,7.366713,
0,17,3.827969,8.958670,5.679286,
0,18,3.899690,8.060869,5.320734,
0,19,3.908690,9.279176,5.347645,
0,20,3.508924,6.902852,6.833376,
0,21,4.304006,9.643889,7.976137,
0,22,3.823019,10.338821,6.210802,
0,23,4.106553,9.272387,5.777199,
0,24,3.892851,9.569703,6.063821,
0,25,3.674160,7.790116,7.026836,
0,26,3.918466,10.231916,8.424293,
0,27,3.623320,8.971615,6.716417,
0,28,3.729567,8.448722,6.229739,
0,29,4.138587,10.120180,6.420360,
0,30,4.063600,7.569999,7.736927,
0,31,3.984330,10.453000,9.035604,
0,32,3.985884,10.540799,7.551521,
0,33,3.987899,10.703570,7.193546,
0,34,4.699403,10.635119,6.858492,
0,35,4.482304,8.137036,8.039353,
0,36,4.410452,11.951292,9.288884,
0,37,4.414812,11.697183,8.982696,
0,38,4.390833,10.583220,7.847010,
0,39,4.437071,9.873199,6.988348,
0,40,4.356994,9.285934,8.662639,
3,1,5.096366,5.157275,5.098950,
3,2,4.287034,7.252103,3.803219,
3,3,3.508595,7.286662,3.263950,
3,4,2.838716,6.659777,3.299005,
3,5,3.065982,5.942622,3.694008,
3,6,2.985230,5.925480,3.717601,
3,7,2.983806,5.110752,3.092565,
3,8,2.787726,5.035011,3.513505,
3,9,2.947407,5.789368,3.522435,
3,10,2.959651,5.325929,4.476792,
3,11,2.974958,5.910589,4.654539,
3,12,3.073106,5.214973,4.157291,
3,13,3.130140,5.209052,3.990066,
3,14,3.258703,7.011239,3.991409,
3,15,3.333304,5.375086,5.159891,
3,16,3.352734,7.220556,6.561563,
3,17,3.493092,6.556151,4.886516,
3,18,3.404303,6.482138,4.929075,
3,19,3.578107,8.214570,4.513771,
3,20,3.470107,6.227993,5.797740,
3,21,3.740994,8.611817,6.967046,
3,22,3.713822,9.115864,5.761979,
3,23,3.752306,8.165510,5.481617,
3,24,3.673969,9.399548,5.165284,
3,25,3.737247,6.833065,6.091256,
3,26,3.842561,9.756126,7.484458,
3,27,3.831782,10.650798,6.334828,
3,28,3.770522,9.244957,6.073731,
3,29,4.108454,9.909494,5.659893,
3,30,4.057177,7.227093,6.314235,
3,31,3.979865,9.829245,7.822253,
3,32,4.040189,11.639726,7.466073,
3,33,4.162015,10.238519,6.833073,
3,34,4.807043,10.702242,6.327042,
3,35,4.726302,7.859777,6.966923,
3,36,4.699282,11.253949,7.432510,
3,37,4.532867,12.648404,7.797450,
3,38,4.684802,10.570044,7.377981,
3,39,4.653002,10.922421,6.690579,
3,40,4.600357,8.485923,7.430283,
